Annee;Nom du partenaire;N SIRET;Adresse;Code postal;Ville;Intitule de la demande;Appel a projets;Appel a projets Politique Ville;Montant demande;Montant vote par demande;Total vote en 2013;Fonctionnement;Subventions sur projet;Subventions d'equipement;Subventions sans nature specifiee;S-PR-Numero SIMPA;Financee/Non Financee
2013;13 EN VUE(S);49880610800011;10 RUE XAINTRAILLES;75013;PARIS;ASSOCIATION 13 EN VUE(S) - DEMANDE DE SUBVENTION 2013;N;N;12500;5400;5400;5400;;;;5702;Financee
2013;ACADEMIE ARTS ET CULTURE DU KURDISTAN - AACK;53314988600012;16 RUE ENGHIEN;75010;PARIS;STAGE D'INITIATION A LA REALISATION DE COURT-METRAGE;N;N;5000;;;;;;;101642;Non financee
2013;ACCUEIL GOUTTE D'OR;40864600800057;26 RUE DE LAGHOUAT;75018;PARIS;Atelier Gravure;O;O;3000;;;;;;;9510;Non financee
2013;ACERMA (ASSOCIATION POUR LA COMMUNICATION, L'ESPACE ET LA REINSERTION DES MALADES ADDICTIFS);38257488700040;22 QUAI DE LA LOIRE;75019;PARIS;Stabiliser et contribuer a la reinsertion de malades addictifs par des pratiques creatives en atelie;N;N;13000;13000;13000;;;;13000;8021;Financee
2013;ACJB - Association Culturelle Jean Bosco;78481017800011;11 RUE DU RETRAIT;75020;PARIS;Subvention d'investissement;N;N;20000;20000;20000;;;20000;;169601;Financee
2013;Cine d'hier;44999914300018;36 RUE DE VERNEUIL;75007;PARIS;Action culturelle locale Bloche- Mairie du 7eme- Simpa 58541;N;N;2000;2000;2000;2000;;;;58541;Financee
2013;Citoyennete Possible;51897534700015;336 RUE DES PYReNeES;75020;PARIS;Lutte contre les discriminations, Financement de 4 programmes Bien dit (codes communs de langage);N;N;10200;2500;2500;;2500;;;49762;Financee
2013;CLUB NAUTIQUE DOMREMY 13;48181448100034;121 RUE JEANNE D'ARC - HALL 15;75013;PARIS;Formation (secourisme, BNSSA, PSE, ENF, arbitrage). Aug prix lignes d'eau, achat equipt sportif;N;N;7000;7000;7000;7000;;;;19925;Financee
2013;Collectif NOSE;53745155100015;2 ALLEE DES JONQUILLES;45450;DONNERY;ARE - Atelier de Theatre;O;N;17325;7700;7700;;;;7700;125001;Financee
2013;College international de philosophie;32845916900020;1 RUE DESCARTES;75005;PARIS;Soutien au College international de Philosophie pour la realisation des "debats autour d'un livre";N;N;3000;2000;2000;2000;;;;20748;Financee
2013;COLORE TON MONDE!;53315698000021;22 RUE DEPARCIEUX;75014;PARIS;Trophees Parisiens de l'ESS;O;N;23000;;;;;;;65961;Non financee
2013;Comite d'Action Sociale et d'Animation du XIVe;52940435200013;26 RUE MOUTON DUVERNET;75014;PARIS;CASA FONCTIONNEMENT;N;N;9000;;;;;;;21018;Non financee
2013;COMITE DE PARIS DE LA LIGUE NATIONALE CONTRE LE CANCER;78467198400044;89 BOULEVARD BLANQUI;75013;PARIS;La lutte contre le cancer par le soutien des malades et les actions de prevention;N;N;110000;110000;110000;110000;;;;18651;Financee
2013;Comite Departemental de la Voile de Paris;44818245100014;60 RUE CASTAGNARY;75015;PARIS;Developpement de la pratique de la voile a travers l'activite des 17 clubs parisiens;N;N;2000;1300;1300;1300;;;;18378;Financee
2013;COMITE DEPARTEMENTAL DE PARIS DE FOOTBALL CDPF;43437704000028;10 SQUARE DUNOIS;75013;PARIS;FONCTIONNEMENT;N;N;78000;85000;85000;85000;;;;15926;Financee
2013;Comite local de l'Association Pour l'Emploi, l'Informatique et la Solidarite des ch?meurs et travailleurs precaires;49909422500020;11 RUE DES COURONNES;75020;PARIS;fonctionnement;N;N;8473;8473;8473;8473;;;;20007;Financee
2013;comite montaigne;42843155500013;14 RUE DE MARIGNAN;75008;PARIS;demande de subvention pour le Comite Montaigne;N;N;15000;7000;7000;7000;;;;52981;Financee
2013;Comite Officiel des Fetes et d'Action Sociale de Montmartre et du 18eme;42046181600019;1 PLACE JULES JOFFRIN;75018;PARIS;Subvention au titre des fonds du Maire (18e);N;N;6186;6186;6186;6186;;;;57622;Financee
2013;Compagnie des Lucioles;43936313600011;4 RUE D' HUMIeRES;60200;COMPIeGNE;ARE - Atelier de pratique theatrale;O;N;6550;6550;6550;;;;6550;149202;Financee
2013;Compagnie du marteau;43365581800014;59 RUE DU DePARTEMENT;75018;PARIS;Mademoiselle Else (Theatre du Lucernaire);N;N;4500;;;;;;;138901;Non financee
2013;Compagnie Florian Sitbon;42094450100013;9 RUE FALGUIeRE;75015;PARIS;ARE- THEATRE ET CULTURE GENERALE;O;N;18600;11000;11000;;;;11000;92921;Financee
2013;COMPAGNIE LA DEFERLANTE;44803546900023;5 RUE DE L'ORME;75019;PARIS;VVV - On s?la joue !;O;N;2000;;;;;;;13065;Non financee
2013;Compagnie Minuit 10;79277042200014;10 AVENUE DE STALINGRAD;95100;ARGENTEUIL;ARE- APPELS a PROJETS POUR LES NOUVEAUX RYTHMES SCOLAIRES;O;N;10040;5600;5600;;;;5600;152661;Financee
2013;COMPAGNIE QUI PORTE QUOI ?;49940206300030;32 RUE CAULAINCOURT;75018;PARIS;Appel a projet lie a la reforme des rythmes scolaires;O;N;7953;7953;7953;;;;7953;44501;Financee
